Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Chad,96.88126785,103.6157683,105.3795341,114.2210523,130.1573101,184.1947091,169.6626632,168.5684324,197.2609009,174.2377612,178.9994664,210.2533732,187.5094017,190.9425906,203.1763147,198.6663545,237.3589512,260.1922216,293.8812344,268.5559797,314.68232,301.2080108,300.8277196,256.5157862,203.5318209,238.5412981,255.1673275,235.5181126,259.3468054,217.8556137,190.7906317,227.7514342,255.7562739,336.7511031,522.3544761,667.7265346,734.1747343,816.4903747,994.4500519,891.107108,1023.657638,1191.971963,1270.453175,1234.333251,1277.085154,1018.425377,895.7710615,884.8696847,984.4963101,948.6902071,898.2136469,954.7115973,947.85465
Chile,985.6965932,1160.588402,1233.092898,1730.180656,1650.500546,755.7907797,1016.229567,1356.893132,1540.251926,2043.008482,2678.396399,3165.166147,2229.029377,1812.88488,1771.742332,1540.151767,1630.785374,1874.575967,2153.056639,2416.219408,2617.000014,2942.191996,3499.382057,3658.590714,4126.234767,5209.137573,5402.487578,5827.343663,5515.607283,5012.339149,5104.493115,4602.918603,4466.608114,4797.509129,6196.768924,7602.005448,9476.095176,10524.42018,10781.67497,10240.89582,12852.04931,14688.37063,15403.3642,15898.66006,14730.5953,13649.54632,13848.80624,15081.98913,15795.70814,14627.14502,13165.38634,16247.40102,15338.20147
China,112.5820539,118.3473264,131.761632,157.1404133,160.3150114,178.5893866,165.6385231,185.5923213,228.7646433,272.3309203,311.6603819,290.3647366,280.1477778,296.0975259,300.4512233,292.2343713,278.8313862,298.2075914,365.4886289,402.2223923,341.9990097,353.1234549,416.5666239,517.7179572,467.4303662,602.9539289,703.2075042,776.8624641,825.3375214,871.4156485,958.256503,1052.37598,1148.04222,1288.163936,1507.805431,1751.846283,2095.911006,2686.559052,3453.958674,3809.720952,4515.077078,5564.488744,6243.546749,6954.774166,7562.591119,7936.749007,8012.979392,8729.13693,9805.380645,10043.13018,10307.69639,12497.7495,12597.88909
"China, Hong Kong SAR",963.9505448,1107.430352,1383.146793,1896.241802,2161.912388,2257.378929,2824.491332,3369.723598,3840.619316,4622.887854,5797.248327,6115.951586,6249.624798,5694.307955,6283.104506,6596.800285,7478.055351,9074.589352,10538.55292,11957.88525,13175.95437,15018.28272,17356.51972,19763.21869,22016.24698,23167.12936,25218.21936,27534.0272,25799.56704,24957.68879,25503.48022,24906.75315,24288.59533,23435.20896,24450.5231,26174.51376,27804.43835,30221.85008,31100.38082,30170.54471,32056.1747,34634.28722,36304.49252,37783.11858,39642.64538,41809.78321,43150.00908,45737.48321,48349.71754,48434.98552,45986.24952,49223.45393,48049.8178
"China, Macao SAR",683.5319779,809.9963379,996.6914067,1364.260006,1573.228347,1823.572668,1815.667875,2324.649574,3044.288032,3472.889953,4155.232134,4326.193783,4450.850271,4255.401013,4715.848864,4734.349033,5115.69632,6278.622575,7053.673646,8020.683769,9269.649022,10390.0486,13197.53308,14881.60634,16233.40642,17764.54638,17751.5365,17652.58974,16232.5264,15387.5287,15684.77955,15622.70305,16393.74305,17828.9536,22381.92296,24886.58189,29637.76645,35782.86109,39745.76222,39754.97449,50676.38919,64528.36014,74111.60582,86853.47342,90873.60249,73220.63173,71919.05267,78896.27475,84779.44932,82998.63267,37474.73499,45104.89359,34584.85874
Colombia,484.4220915,513.4678191,557.2466948,644.6133098,757.6685956,785.7176972,900.5042481,1118.542846,1305.887107,1534.112505,1791.665709,1907.900049,1996.608254,1939.506506,1872.667192,1670.979796,1637.848315,1669.007401,1761.690442,1739.403947,1734.804393,1740.591413,1826.412386,2072.702026,2682.863921,3046.410962,3141.51008,3388.484188,3075.535105,2649.556376,2530.410689,2449.35586,2405.939357,2290.188241,2793.032636,3448.980365,3778.52666,4760.98121,5527.449953,5244.353266,6394.198705,7392.452361,8101.829092,8264.126896,8164.714495,6228.426299,5938.463856,6450.319585,6782.03792,6438.060183,5302.023428,6183.787783,6630.282452
Comoros,154.63933,166.4135335,190.6363634,247.1475131,271.0640314,408.3384104,390.3381442,418.2795859,525.1896047,679.5474049,788.1587025,708.3948215,646.5261167,656.0986227,615.9137625,638.5892186,881.8437192,1037.012022,1065.293068,992.3987717,1184.736009,1162.887144,1224.476513,1185.384649,817.5271949,998.8707845,971.6915779,875.0210508,869.8952294,881.0060453,786.0943504,831.7338709,913.5638642,1152.94403,1311.221545,1328.43045,1382.906483,1288.090504,1448.786114,1403.457232,1382.714588,1524.835628,1484.034834,1595.533974,1606.547199,1322.404177,1356.344178,1414.586689,1531.337811,1510.797323,1518.143943,1577.470841,1489.752341
Congo,203.0639918,225.2970141,262.4421562,339.1072529,397.1783666,455.1361098,460.6614822,448.4669776,544.3238678,722.8231206,1009.163898,1153.371556,1223.2142,1162.908447,1185.940434,1133.85751,941.8413247,1136.099123,1043.324826,1090.895235,1219.517542,1237.523383,1301.270101,1157.832669,774.8593506,896.0082183,1008.437494,893.1591607,762.5219172,876.0304276,1156.367535,933.5602946,999.6039536,1125.802044,1437.710209,1809.868851,2114.988523,2216.98002,2837.169533,2274.794626,2959.874599,3410.593394,3754.075649,3718.593857,3619.006992,2453.483132,2107.518618,2227.732609,2715.260418,2508.940444,2011.28344,2525.394509,2570.136581
Cook Islands,544.8518,539.2435237,560.2638036,746.658113,906.041362,920.0136821,900.1076329,1066.504823,1244.660807,1424.594027,1577.273839,1632.810965,1647.830119,1649.952306,1740.013059,1847.971146,2405.621414,3048.137982,3839.639219,3837.402407,4238.958288,4572.267596,4685.612117,5206.926957,6149.088389,6516.604172,6547.948992,6094.199667,5474.661924,6063.404134,6289.469742,6865.922369,8073.718139,11056.34859,12885.81624,13151.75895,13486.04712,14616.68886,14035.59009,12959.52126,13989.55341,15305.89044,16632.27441,16142.09732,17930.71313,17076.76346,17659.7609,19868.29603,21023.22505,20853.04033,16641.88132,14526.15037,17033.07544
Costa Rica,677.5337474,721.6270285,808.3410044,972.8105373,1033.654491,1185.326493,1420.892245,1762.288183,1967.284061,2192.840536,2554.66552,1349.86908,1304.51248,1531.750166,1733.122687,1806.899318,1974.257942,1978.405228,1962.290795,2166.568168,2307.674857,2221.430804,2578.025031,2814.044548,3005.540323,3238.923063,3194.43339,3373.446843,3580.388638,3653.694164,3773.074602,3941.588656,4021.453002,4123.483502,4376.030466,4644.36492,5187.835977,6055.064624,6841.912585,6737.860754,8147.248622,9137.455102,9971.651656,10633.26656,10737.67888,11529.95517,11899.81398,12118.13362,12383.14995,12669.34116,12179.25667,12537.25675,13198.82172
